"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5203302";"Bela Vista de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-";"-";"2380";"-";"-";"-";"560";"-";"-";"-";"-";"-";"-";"8320";"-";"64";"-";"-";"-";"64800";"-";"85";"-";"-";"-";"-";"-";"53760";"3200";"385";"11725";"-";"-";"-";"-";"-"
"5203401";"Bom Jardim de Goiás (GO)";"-";"300";"-";"...";"-";"-";"-";"-";"-";"-";"-";"594";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"380";"-";"1540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34104";"-";"-";"-";"-";"-";"-";"-";"-"
"5203500";"Bom Jesus de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"...";"-";"-";"-";"-";"...";"2538000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"396";"-";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-";"246000";"-";"-";"-";"-";"-";"-";"-";"168740";"12000";"-";"-";"-";"-";"-";"-";"-"
"5203559";"Bonfinópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3480";"-";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"1440";"-";"-";"-";"-";"-";"-";"-";"990";"-";"100";"1050";"-";"-";"-";"-";"-"
"5203575";"Bonópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"47";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1095";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1358";"-";"-";"-";"-";"-";"3554";"-";"-";"-";"-";"-";"-";"-";"29281";"435";"-";"-";"-";"-";"-";"-";"-"
"5203609";"Brazabrantes (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"64";"-";"-";"380";"-";"-";"125";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"370";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1236";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"696";"-";"-";"-";"-";"-";"-";"-";"30";"-";"86";"-";"-";"-";"-";"-";"-"
"5203807";"Britânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4620";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"275";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8700";"-";"-";"-";"-";"-";"-";"-";"-"
"5203906";"Buriti Alegre (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"9";"-";"-";"7520";"-";"-";"-";"...";"-";"-";"-";"-";"...";"187000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1820";"-";"-";"-";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35920";"-";"-";"-";"-";"-";"-";"-";"33350";"4000";"-";"300";"-";"-";"-";"-";"-"
"5203939";"Buriti de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"405";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"800";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5203962";"Buritinópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
